timestamp,frame_id,fps,latency_ms,top1_class,confidence,cpu_usage_percent,memory_usage_mb
1766734349.162257,224,29.98,0.67,clothing,0.5039,14.3,280.0
1766734349.1956458,225,29.98,0.67,clothing,0.5,0.0,280.0
1766734349.2278452,226,29.98,0.67,clothing,0.4062,23.1,280.0
1766734349.2625,227,29.98,0.67,clothing,0.4609,14.3,280.0
1766734349.2942462,228,29.98,0.68,clothing,0.4336,0.0,280.0
1766734349.3290918,229,29.98,0.71,clothing,0.5586,20.0,280.0
1766734349.3610213,230,29.98,0.73,clothing,0.5234,21.4,280.0
1766734349.3961856,231,29.98,0.67,cardboard_boxes,0.2852,7.7,280.0
1766734349.427683,232,29.98,0.69,clothing,0.5859,16.7,280.0
1766734349.4611273,233,29.98,0.76,clothing,0.3477,15.4,280.0
1766734349.4970622,234,29.98,0.7,clothing,0.2656,7.1,280.0
1766734349.527696,235,29.98,0.98,clothing,0.4258,16.7,280.0
1766734349.5614774,236,29.98,0.72,clothing,0.3828,14.3,280.0
1766734349.5941617,237,29.98,0.87,clothing,0.4062,15.4,280.0
1766734349.6279216,238,29.98,0.75,clothing,0.5156,15.4,280.0
1766734349.6606808,239,29.98,1.06,clothing,0.4375,14.3,280.0
1766734349.694903,240,29.98,0.7,clothing,0.3359,15.4,280.0
1766734349.7272866,241,29.98,1.17,clothing,0.2617,15.4,280.0
1766734349.7622018,242,29.98,0.68,clothing,0.3398,7.7,280.0
1766734349.7937582,243,29.98,1.25,clothing,0.3867,16.7,280.0
1766734349.8274848,244,29.98,1.08,clothing,0.5156,14.3,280.0
1766734349.8619332,245,29.98,0.68,clothing,0.3047,14.3,280.0
1766734349.8942509,246,29.98,1.36,clothing,0.3906,0.0,280.0
1766734349.927983,247,30.2,1.27,clothing,0.4414,15.4,280.0
1766734349.960632,248,30.2,1.27,clothing,0.332,15.4,280.0
1766734349.994353,249,30.2,1.33,clothing,0.3242,14.3,280.0
1766734350.0273805,250,30.2,1.35,clothing,0.2734,28.6,280.0
1766734350.0614834,251,30.2,1.88,clothing,0.5859,7.7,280.0
1766734350.0931103,252,30.2,1.15,clothing,0.5117,21.4,280.0
1766734350.1270592,253,30.2,1.29,clothing,0.543,0.0,280.0
1766734350.1609852,254,30.2,1.2,clothing,0.4453,15.4,280.0
1766734350.1934054,255,30.2,0.73,clothing,0.6484,20.0,280.0
1766734350.226902,256,30.2,0.74,clothing,0.5742,15.4,280.0
1766734350.2601168,257,30.2,1.09,disposable_plastic_cutlery,0.2969,8.3,280.0
1766734350.293856,258,30.2,1.27,clothing,0.543,20.0,280.0
1766734350.326636,259,30.2,0.88,clothing,0.4062,15.4,280.0
1766734350.3602972,260,30.2,1.05,clothing,0.4961,8.3,280.0
1766734350.3932214,261,30.2,0.77,clothing,0.4961,21.4,280.0
1766734350.4270365,262,30.2,1.0,cardboard_boxes,0.2969,21.4,280.0
1766734350.4607642,263,30.2,1.14,clothing,0.6133,7.7,280.0
1766734350.493634,264,30.2,0.92,clothing,0.293,21.4,280.0
1766734350.5274332,265,30.2,1.13,aluminum_food_cans,0.3086,15.4,280.0
1766734350.5607984,266,30.2,1.09,clothing,0.3984,8.3,280.0
1766734350.5938895,267,30.2,0.97,cardboard_boxes,0.2734,20.0,280.0
1766734350.628905,268,30.2,1.29,cardboard_boxes,0.3477,15.4,280.0
1766734350.6605444,269,30.2,0.8,clothing,0.457,15.4,280.0
1766734350.6938043,270,30.2,0.87,clothing,0.3828,21.4,280.0
1766734350.7282238,271,30.2,1.15,clothing,0.2812,14.3,280.0
1766734350.7630188,272,30.2,1.05,clothing,0.4297,21.4,280.0
1766734350.7938855,273,30.2,0.81,clothing,0.4141,8.3,280.0
1766734350.8299174,274,30.2,1.11,clothing,0.5859,20.0,280.0
1766734350.8611114,275,30.2,0.86,clothing,0.3516,0.0,280.0
1766734350.8940418,276,30.2,0.81,clothing,0.293,21.4,280.0
1766734350.9265873,277,30.2,0.69,clothing,0.6445,8.3,280.0
1766734350.9612126,278,30.01,0.86,clothing,0.5156,14.3,280.0
1766734350.993219,279,30.01,0.72,clothing,0.5742,15.4,280.0
1766734351.027068,280,30.01,0.75,clothing,0.2852,15.4,280.0
1766734351.0596983,281,30.01,0.68,clothing,0.5234,21.4,280.0
1766734351.0934637,282,30.01,0.73,clothing,0.5039,21.4,280.0
1766734351.1270838,283,30.01,0.72,clothing,0.625,21.4,280.0
1766734351.1600006,284,30.01,0.67,clothing,0.3711,15.4,280.0
1766734351.1936693,285,30.01,0.69,clothing,0.4531,15.4,280.0
